,Unnamed: 0,unique_trajectory_id,condition,VPCode,landmark_rotation,respx,respz,targetx,targetz,trajectory_id,target,jitterx,jitterz,startx,startz,belief_respx,belief_respz,endidx,task_finished,target_loc
3,3,3,combined,sub10,-0.0,-1.7998530729098543,0.033845371345561315,-2.1104984444124777,0.41023934005957124,3-4-8,-2.11-0.41,-0.0705469816870621,-0.0529357195892998,0.0510911113998863,0.0851485847680653,-2.097099901247017,-0.295575003673214,136,True,-2.04
5,5,5,combined,sub17,-0.0,1.82958835910633,2.2173097940506423,1.8031417210826617,1.1709739252823081,0-7-8,1.8-1.17,0.1499630393322974,0.1290344021739064,-0.0662912605131815,0.0953564834414482,2.09743175215664,0.9782131661184434,141,True,1.653
14,14,14,combined,sub03,-0.0,-1.7767004017649413,0.7521935601979108,-2.1104984444124772,0.4102393400595714,3-5-8,-2.11-0.41,-0.0097231693405045,0.0572869441887711,0.0120301381221672,0.05233511307148875,-1.891797832326669,-0.0289464633451414,131,True,-2.101
22,22,22,combined,sub13,-0.0,1.5392048245652667,0.2015411365732338,2.110498444412477,0.4102393400595713,2-4-8,2.11-0.41,-0.2084917229308917,-0.0725867604935516,0.0255754008739435,-0.02029850962862767,1.7738752165644995,-0.7704235744994335,149,True,2.319
25,25,25,combined,sub05,-0.0,-1.88599581698318,0.9554906102926454,-2.1104984444124772,0.4102393400595714,3-5-8,-2.11-0.41,-0.0327875506152247,0.1152108802827161,-0.0452360768448465,0.08124542136455182,-2.0896610398053648,-0.2917714619557275,126,True,-2.078
26,26,26,combined,sub04,-0.0,1.6849717548535512,1.2045462575541424,1.8031417210826615,1.1709739252823081,0-7-8,1.8-1.17,0.1562819640077728,-0.0091537037296616,-0.08798201054871,-0.06534010941961121,1.6843421168231674,0.6853624907420521,151,True,1.647
32,32,32,combined,sub01,-0.0,1.5649057408789582,1.4288385214783879,1.803141721082662,1.1709739252823081,0-4-8,1.8-1.17,-0.109825867048839,-0.0029132111117461,-0.0357550526346221,0.06857568934079195,1.818974943169938,0.3580904308441144,137,True,1.913
40,40,40,combined,sub14,-0.0,1.55516870357651,1.467065675725378,1.8031417210826617,1.1709739252823081,0-6-8,1.8-1.17,-0.2211747185621823,0.0166129733464885,0.0504949160191029,-0.04425352650230141,1.72481523898361,0.5076876098111945,125,True,2.024
51,51,51,combined,sub02,-0.0,-2.3532424261943303,-0.6404577473252715,-2.1104984444124772,0.4102393400595713,3-6-8,-2.11-0.41,-0.1405048868009881,-0.0440645122460926,0.0318421114351356,-0.05255996102222027,-2.27665272397577,-0.5081588451983763,151,True,-1.97
53,53,53,combined,sub08,-0.0,-2.181075321031942,0.4688776552783487,-2.1104984444124772,0.4102393400595713,3-4-8,-2.11-0.41,0.0629362560154315,0.0756564164244171,0.0455203052342806,-0.03953987646866863,-2.3299820407254725,-0.7358077215237687,145,True,-2.173
55,55,55,combined,sub15,-0.0,2.0827059922646805,-0.6061747793189622,2.1104984444124777,0.4102393400595713,2-5-8,2.11-0.41,-0.002230330898506,-0.1466873700232599,-0.0363589445235336,0.053218175880154095,2.259597079574983,-0.5821284787718085,162,True,2.113
58,58,58,combined,sub08,-0.0,-2.118488530549137,0.14229584607647605,-2.1104984444124772,0.4102393400595714,3-7-8,-2.11-0.41,0.2033218573824602,0.1168164828437071,-0.0650662459399163,0.05039669648999234,-2.100988303337837,-0.6687288621215774,111,True,-2.314
64,64,64,combined,sub04,-0.0,2.609365742709499,0.9445293445261895,2.1104984444124772,0.4102393400595714,2-4-8,2.11-0.41,0.2456473761696806,0.0402617126323207,0.0503220781908526,-0.027433446332362443,2.385317707588579,0.0097761501297511,136,True,1.865
66,66,66,combined,sub16,-0.0,1.6535458988306622,1.531505454325404,1.8031417210826612,1.1709739252823081,0-4-8,1.8-1.17,-0.056048251252761,-0.094008172532101,0.0599722471241764,0.0813973843290916,1.5204936550757793,0.5411371910922717,121,True,1.859
67,67,67,combined,sub16,-0.0,2.233234762115361,0.5820746525779211,1.8031417210826615,1.170973925282308,0-7-8,1.8-1.17,-0.1103249946774895,-0.1414149222978628,-0.1227805165896491,0.020878437086345847,1.5806551292158604,0.4381094428381088,126,True,1.913
68,68,68,combined,sub18,-0.0,2.589400647828367,0.5342202389652252,1.8031417210826615,1.1709739252823081,0-6-8,1.8-1.17,-0.0053786008453359,-0.0093275252601225,0.0764590921525877,-0.01909079446043449,2.3314709115829584,-0.2001277604274978,135,True,1.809
78,78,78,combined,sub17,-0.0,-1.2748878752489423,1.2521788793818898,-1.8031417210826617,1.1709739252823081,1-4-8,-1.8-1.17,-0.0784392959095862,0.0442260341740247,0.0817283852403348,-0.051676044315287384,-1.5489369045929513,0.6801042644974886,159,True,-1.725
81,81,81,combined,sub09,-0.0,-2.122417580510274,0.17078893773437231,-2.1104984444124772,0.4102393400595713,3-7-8,-2.11-0.41,0.3492899555756681,0.00511816847644,-0.0845441316718471,0.08983826310437215,-2.1813878564051103,-0.2554285529479492,112,True,-2.46
86,86,86,combined,sub13,-0.0,-2.3388792680892325,0.5882239539216669,-2.1104984444124772,0.4102393400595713,3-6-8,-2.11-0.41,0.1301259778985449,-0.0232316782335648,0.0685044333407023,-0.07665594085050875,-2.135596104220621,-0.661178806093463,156,True,-2.241
87,87,87,combined,sub16,-0.0,-2.5816474893670964,0.4304947078895833,-2.1104984444124772,0.4102393400595713,3-5-8,-2.11-0.41,-0.002128811624091,-0.0150198351471705,-0.0807014966970073,-0.009638167547527998,-2.6118374112501344,-0.1764488757888841,131,True,-2.108
90,90,90,combined,sub14,-0.0,1.418920753311002,-0.339655406895085,1.8031417210826615,1.1709739252823081,0-7-8,1.8-1.17,0.0497181937238464,-0.0317709333939867,-0.0875789935743827,0.043628125773894744,1.3936192101771685,0.3706653148374218,181,True,1.753
97,97,97,combined,sub17,-0.0,2.031022483804393,0.4947316604122067,2.1104984444124772,0.4102393400595714,2-4-8,2.11-0.41,-0.0421540436878604,0.0344484472269841,0.0694768871656908,0.02695614324199125,2.079254305088244,0.1374081619814019,141,True,2.153
103,103,103,combined,sub06,-0.0,-1.971358879671877,1.19258717318524,-2.1104984444124777,0.4102393400595713,3-4-8,-2.11-0.41,-0.0427237218763423,-0.0260993432282513,0.0846261079743379,-0.03251121984606731,-2.276290911363693,-0.8405472005887097,136,True,-2.068
104,104,104,combined,sub04,-0.0,2.1268342865500327,0.7105291788071566,2.1104984444124772,0.4102393400595713,2-7-8,2.11-0.41,0.0126825158969393,-0.0197763141366518,-0.114616025525974,0.014300090817398803,2.2868035643168887,-0.6408823107387539,151,True,2.098
107,107,107,combined,sub06,-0.0,1.1353604747859347,-1.956824874692734,2.1104984444124777,0.4102393400595712,2-5-8,2.11-0.41,0.1592629077185836,-0.0009318582600278,-0.0212805551595025,0.11417629636455273,2.4497281898913603,-0.5192254919943493,148,True,1.951
